Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
electric-kettle,Electric Kettle,"<p>Fast-boil electric kettle for tea, coffee, and daily kitchen use. Useful for homes, hostels, and offices across Pakistan.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, COD, Pakistan",TRUE,Title,Default Title,PHE-KA-001,80,3499,4299,TRUE,TRUE,https://placehold.co/900x900?text=Electric+Kettle,Electric Kettle Pakistan,Buy electric kettle in Pakistan with COD and WhatsApp order support,active
blender,Blender,"<p>Compact blender for shakes, chutneys, sauces, and everyday meal prep. Easy to clean and suitable for family kitchens.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Blender, COD",TRUE,Title,Default Title,PHE-KA-002,60,5499,6499,TRUE,TRUE,https://placehold.co/900x900?text=Blender,Blender for Home Kitchen Pakistan,Affordable blender for Pakistani kitchens with fast delivery,active
hand-mixer,Hand Mixer,"<p>Lightweight hand mixer for baking, whipping cream, eggs, and home desserts. Simple controls for daily use.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"Kitchen Appliances, Baking, Mixer",TRUE,Title,Default Title,PHE-KA-003,55,3999,4899,TRUE,TRUE,https://placehold.co/900x900?text=Hand+Mixer,Hand Mixer Pakistan,Shop hand mixer for baking and daily kitchen use in Pakistan,active
electric-iron,Electric Iron,"<p>Reliable electric iron for neat clothes at home. Designed for regular family use and easy handling.</p>",Pak Home Essentials,Home & Garden > Household Appliances,Daily Use Products,"Daily Use Products, Iron, Home",TRUE,Title,Default Title,PHE-DU-004,75,3299,3999,TRUE,TRUE,https://placehold.co/900x900?text=Electric+Iron,Electric Iron Pakistan,Buy electric iron online in Pakistan with Cash on Delivery,active
mini-fan,Mini Fan,"<p>Portable mini fan for desks, rooms, and travel. Helpful during warm days and power-saving use.</p>",Pak Home Essentials,Home & Garden > Household Appliances,Daily Use Products,"Daily Use Products, Fan, Summer",TRUE,Title,Default Title,PHE-DU-005,90,2499,3199,TRUE,TRUE,https://placehold.co/900x900?text=Mini+Fan,Mini Fan Pakistan,Portable mini fan for home office and travel in Pakistan,active
room-heater,Room Heater,"<p>Compact room heater for winter comfort in bedrooms, offices, and small living spaces.</p>",Pak Home Essentials,Home & Garden > Household Appliances,Daily Use Products,"Daily Use Products, Heater, Winter",TRUE,Title,Default Title,PHE-DU-006,42,6999,8299,TRUE,TRUE,https://placehold.co/900x900?text=Room+Heater,Room Heater Pakistan,Shop compact room heater for winter use in Pakistan,active
led-emergency-light,LED Emergency Light,"<p>Rechargeable LED emergency light for load shedding, travel, and backup lighting at home.</p>",Pak Home Essentials,Home & Garden > Lighting,Daily Use Products,"Daily Use Products, Emergency Light, Rechargeable",TRUE,Title,Default Title,PHE-DU-007,100,2799,3499,TRUE,TRUE,https://placehold.co/900x900?text=LED+Emergency+Light,LED Emergency Light Pakistan,Rechargeable emergency light for load shedding and home backup,active
mop-set,Mop Set,"<p>Easy-clean mop set for floor cleaning with a practical bucket design for Pakistani homes.</p>",Pak Home Essentials,Home & Garden > Household Supplies,Home Cleaning,"Home Cleaning, Mop, Cleaning",TRUE,Title,Default Title,PHE-HC-008,70,4499,5299,TRUE,TRUE,https://placehold.co/900x900?text=Mop+Set,Mop Set Pakistan,Buy mop set for easy floor cleaning with COD in Pakistan,active
storage-box,Storage Box,"<p>Durable storage box for clothes, toys, documents, and home organization.</p>",Pak Home Essentials,Home & Garden > Storage & Organization,Storage & Organization,"Storage, Organization, Home",TRUE,Title,Default Title,PHE-SO-009,120,1599,1999,TRUE,TRUE,https://placehold.co/900x900?text=Storage+Box,Storage Box Pakistan,Practical storage box for home organization in Pakistan,active
kitchen-rack,Kitchen Rack,"<p>Space-saving kitchen rack for spices, utensils, jars, and everyday kitchen organization.</p>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Storage & Organization,"Kitchen, Rack, Storage",TRUE,Title,Default Title,PHE-SO-010,65,2999,3699,TRUE,TRUE,https://placehold.co/900x900?text=Kitchen+Rack,Kitchen Rack Pakistan,Organize your kitchen with a space-saving rack in Pakistan,active
